,incident_number,incident_date,subject_gender,suspect_age,lon,lat
0,B19-41460,2019-10-01,M,30,-86.525757,39.1636505
1,B19-42037,2019-10-04,M,42,-86.525757,39.1636505
2,B19-42212,2019-10-05,M,19,-86.525757,39.1636505
3,B19-42238,2019-10-05,M,40,-86.525757,39.1636505
4,B19-42269,2019-10-06,M,55,-86.525757,39.1636505
5,"B19-42426
",2019-10-07,M,16,-86.525757,39.1636505
6,B19-42530,2019-10-08,M,25,-86.525757,39.1636505
7,B19-42530,2019-10-08,M,25,-86.525757,39.1636505
8,"B19-42867
",2019-10-10,M,29,-86.525757,39.1636505
9,"B19-42872
",2019-10-10,M,68,-86.525757,39.1636505
10,B19-43135,2019-10-11,F,46,-86.525757,39.1636505
11,B19-43190,2019-10-12,M,24,-86.525757,39.1636505
12,B19-43419,2019-10-13,M,20,-86.525757,39.1636505
13,B19-44194,2019-10-18,F,28,-86.525757,39.1636505
14,"B19-44577
",2019-10-21,M,38,-86.525757,39.1636505
15,B19-44998,2019-10-24,M,18,-86.525757,39.1636505
16,B19-45111,2019-10-25,M,40,-86.525757,39.1636505
17,B19-45521,2019-10-28,M,32,-86.525757,39.1636505
18,B19-46043,2019-11-01,M,21,-86.525757,39.1636505
19,B19-46519,2019-11-04,M,23,-86.525757,39.1636505
20,B19-46793,2019-11-05,M,23,-86.525757,39.1636505
21,B19-46826,2019-11-06,M,39,-86.525757,39.1636505
22,B19-46908,2019-11-06,M,39,-86.525757,39.1636505
23,B19-46915,2019-11-06,M,15,-86.525757,39.1636505
24,B19-47167,2019-11-08,M,33,-86.525757,39.1636505
25,B19-47222,2019-11-09,M,38,-86.525757,39.1636505
26,B19-47346,2019-11-10,M,19,-86.525757,39.1636505
27,B19-47323,2019-11-09,M,31,-86.525757,39.1636505
28,B19-47323,2019-11-09,M,28,-86.525757,39.1636505
29,B19-47410,2019-11-10,F,56,-86.525757,39.1636505
30,B19-48202,2019-11-16,M,17,-86.525757,39.1636505
31,B19-48241,2019-11-16,M,41,-86.525757,39.1636505
32,B19-48257,2019-11-16,M,47,-86.525757,39.1636505
33,B19-48351,2019-11-17,M,43,-86.525757,39.1636505
34,B19-48371,2019-11-17,M,42,-86.525757,39.1636505
35,B19-48460,2019-11-18,M,24,-86.525757,39.1636505
36,B19-48881,2019-11-21,M,60,-86.525757,39.1636505
37,B19-48233,2019-11-25,F,26,-86.525757,39.1636505
38,B19-49464,2019-11-25,F,55,-86.525757,39.1636505
39,B19-49004,2019-11-26,M,15,-86.525757,39.1636505
40,B19-49936,2019-11-28,F,25,-86.525757,39.1636505
41,B19-49936,2019-11-28,M,34,-86.525757,39.1636505
42,B19-49986,2019-11-29,F,25,-86.525757,39.1636505
